state,count
"New Jersey",9
Indiana,21
Washington,28
California,97
"District of Columbia",35
Texas,97
Virginia,24
Illinois,25
Florida,86
Colorado,33
Iowa,11
Alabama,29
Minnesota,17
Utah,10
Connecticut,22
Louisiana,20
Georgia,18
"New York",69
Michigan,17
Ohio,33
Wisconsin,8
Kansas,13
Arkansas,6
Missouri,23
"North Carolina",20
"South Carolina",9
"New Hampshire",3
Pennsylvania,25
Nebraska,7
Oklahoma,16
Massachusetts,14
Arizona,26
"North Dakota",2
Tennessee,23
Nevada,17
Idaho,7
"West Virginia",10
Alaska,10
Hawaii,6
Maryland,14
Delaware,6
"New Mexico",5
Maine,1
Montana,3
Kentucky,8
Mississippi,2
Oregon,7
Wyoming,1
Vermont,1
